Дата,Хозяева(Х),Гости(Г),ГолыХ,ГолыГ,Результат,УдарыХ,УдарыГ,Удары по воротам Х,Удары по воротам Г,ФолыХ,ФолыГ,УгловыеХ,УгловыеГ,ЖКХ,ЖКГ,ККХ,ККГ,Победитель,Проигравший
Сезон 09/10,Tenerife,La Coruna,0,1,A,17,11,4,5,20,13,6,9,2,1,0,0
Сезон 09/10,Getafe,Osasuna,2,1,H,14,13,7,2,16,19,5,5,2,2,0,0
Сезон 09/10,Santander,Valencia,0,1,A,18,7,6,2,21,20,6,1,1,3,0,0
Сезон 09/10,Sevilla,Real Madrid,2,1,H,24,17,10,3,20,9,14,6,4,3,0,0
Сезон 09/10,Sp Gijon,Mallorca,4,1,H,19,8,8,2,9,14,3,4,2,1,0,0
Сезон 09/10,Valladolid,Ath Bilbao,2,2,D,19,9,4,3,15,9,14,5,3,4,2,1
Сезон 09/10,Villarreal,Espanol,0,0,D,15,5,6,0,13,23,14,1,3,3,0,1
Сезон 09/10,Xerez,Malaga,1,1,D,6,18,3,4,14,22,4,8,3,2,0,1
Сезон 09/10,La Coruna,Sevilla,1,0,H,9,10,2,1,10,19,3,5,0,1,0,0
Сезон 09/10,Real Madrid,Valladolid,4,2,H,19,19,6,8,11,16,6,12,2,2,0,0
Сезон 09/10,Valencia,Barcelona,0,0,D,13,12,4,3,15,11,5,6,4,2,0,0
Сезон 09/10,Ath Bilbao,Sp Gijon,1,2,A,17,9,2,3,16,21,5,3,4,3,0,0
Сезон 09/10,Espanol,Tenerife,2,1,H,15,8,7,4,11,14,5,2,2,4,0,0
Сезон 09/10,Malaga,Almeria,1,2,A,16,18,5,7,23,18,6,3,4,3,0,0
Сезон 09/10,Mallorca,Getafe,3,1,H,14,14,8,4,26,24,7,5,3,3,0,0
Сезон 09/10,Osasuna,Ath Madrid,3,0,H,14,20,6,5,19,18,8,7,1,3,0,0
Сезон 09/10,Xerez,Villarreal,2,1,H,11,13,3,6,16,14,3,4,2,3,0,1
Сезон 09/10,Zaragoza,Santander,2,2,D,17,14,4,3,11,13,6,7,2,3,1,0
Сезон 09/10,Ath Madrid,Mallorca,1,1,D,25,8,6,2,15,25,11,3,0,3,0,2
Сезон 09/10,Sevilla,Espanol,0,0,D,28,8,8,1,13,19,11,0,2,5,0,1
Сезон 09/10,Sp Gijon,Real Madrid,0,0,D,10,13,2,5,20,10,3,7,2,4,0,0
